Month,State,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage,Crime
2000-01-01,AK,150,118,0.79,25.82,20.31,626932,580891,92.66,aggravated-assault
2000-02-01,AK,157,101,0.64,27.06,17.41,626932,580124,92.53,aggravated-assault
2000-03-01,AK,218,158,0.72,37.58,27.24,626932,580124,92.53,aggravated-assault
2000-04-01,AK,196,152,0.78,33.84,26.24,626932,579262,92.4,aggravated-assault
2000-05-01,AK,183,154,0.84,31.59,26.59,626932,579262,92.4,aggravated-assault
2000-06-01,AK,181,130,0.72,31.25,22.44,626932,579262,92.4,aggravated-assault
2000-07-01,AK,265,166,0.63,45.75,28.66,626932,579262,92.4,aggravated-assault
2000-08-01,AK,190,145,0.76,32.8,25.03,626932,579262,92.4,aggravated-assault
2000-09-01,AK,169,118,0.7,29.18,20.37,626932,579262,92.4,aggravated-assault
2000-10-01,AK,181,134,0.74,31.25,23.13,626932,579262,92.4,aggravated-assault
2000-11-01,AK,152,122,0.8,26.35,21.15,626932,576796,92.0,aggravated-assault
2000-12-01,AK,172,121,0.7,29.65,20.86,626932,580124,92.53,aggravated-assault
2001-01-01,AK,202,138,0.68,34.44,23.53,634892,586565,92.39,aggravated-assault
2001-02-01,AK,136,101,0.74,22.84,16.96,634892,595512,93.8,aggravated-assault
2001-03-01,AK,226,164,0.73,37.98,27.56,634892,595105,93.73,aggravated-assault
2001-04-01,AK,179,134,0.75,30.08,22.52,634892,595105,93.73,aggravated-assault
2001-05-01,AK,207,157,0.76,34.76,26.36,634892,595512,93.8,aggravated-assault
2001-06-01,AK,209,147,0.7,35.1,24.68,634892,595512,93.8,aggravated-assault
2001-07-01,AK,246,188,0.76,41.31,31.57,634892,595512,93.8,aggravated-assault
2001-08-01,AK,215,144,0.67,36.13,24.2,634892,595105,93.73,aggravated-assault
2001-09-01,AK,205,157,0.77,34.59,26.49,634892,592608,93.34,aggravated-assault
2001-10-01,AK,205,165,0.8,34.59,27.84,634892,592608,93.34,aggravated-assault
2001-11-01,AK,151,123,0.81,25.48,20.76,634892,592608,93.34,aggravated-assault
2001-12-01,AK,211,152,0.72,35.61,25.65,634892,592608,93.34,aggravated-assault
2002-01-01,AK,164,130,0.79,27.15,21.52,643786,603961,93.81,aggravated-assault
2002-02-01,AK,157,115,0.73,26.0,19.04,643786,603961,93.81,aggravated-assault
2002-03-01,AK,186,149,0.8,30.8,24.67,643786,603961,93.81,aggravated-assault
2002-04-01,AK,179,136,0.76,29.79,22.64,643786,600796,93.32,aggravated-assault
2002-05-01,AK,241,154,0.64,40.11,25.63,643786,600796,93.32,aggravated-assault
2002-06-01,AK,170,137,0.81,28.3,22.8,643786,600796,93.32,aggravated-assault
2002-07-01,AK,243,193,0.79,38.43,30.52,643786,632333,98.22,aggravated-assault
2002-08-01,AK,233,170,0.73,36.85,26.88,643786,632333,98.22,aggravated-assault
2002-09-01,AK,220,166,0.75,34.79,26.25,643786,632333,98.22,aggravated-assault
2002-10-01,AK,229,162,0.71,36.22,25.62,643786,632333,98.22,aggravated-assault
2002-11-01,AK,217,143,0.66,34.32,22.61,643786,632333,98.22,aggravated-assault
2002-12-01,AK,238,200,0.84,37.64,31.63,643786,632333,98.22,aggravated-assault
2003-01-01,AK,232,146,0.63,36.67,23.08,648818,632621,97.5,aggravated-assault
2003-02-01,AK,201,143,0.71,31.77,22.6,648818,632621,97.5,aggravated-assault
2003-03-01,AK,261,207,0.79,41.26,32.72,648818,632621,97.5,aggravated-assault
2003-04-01,AK,229,178,0.78,36.2,28.14,648818,632621,97.5,aggravated-assault
