Month,State,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage,Crime
2000-01-01,AK,11,0,0.0,1.89,0.0,626932,580891,92.66,arson
2000-02-01,AK,9,2,0.22,1.55,0.34,626932,580124,92.53,arson
2000-03-01,AK,16,3,0.19,2.76,0.52,626932,580124,92.53,arson
2000-04-01,AK,8,0,0.0,1.38,0.0,626932,579262,92.4,arson
2000-05-01,AK,26,7,0.27,4.49,1.21,626932,579262,92.4,arson
2000-06-01,AK,23,10,0.43,3.97,1.73,626932,579262,92.4,arson
2000-07-01,AK,22,5,0.23,3.8,0.86,626932,579262,92.4,arson
2000-08-01,AK,27,2,0.07,4.66,0.35,626932,579262,92.4,arson
2000-09-01,AK,12,1,0.08,2.07,0.17,626932,579262,92.4,arson
2000-10-01,AK,15,2,0.13,2.59,0.35,626932,579262,92.4,arson
2000-11-01,AK,22,5,0.23,3.81,0.87,626932,576796,92.0,arson
2000-12-01,AK,11,0,0.0,1.9,0.0,626932,580124,92.53,arson
2001-01-01,AK,13,2,0.15,2.22,0.34,634892,586565,92.39,arson
2001-02-01,AK,13,3,0.23,2.18,0.5,634892,595512,93.8,arson
2001-03-01,AK,13,1,0.08,2.18,0.17,634892,595105,93.73,arson
2001-04-01,AK,19,1,0.05,3.19,0.17,634892,595105,93.73,arson
2001-05-01,AK,24,5,0.21,4.03,0.84,634892,595512,93.8,arson
2001-06-01,AK,25,2,0.08,4.2,0.34,634892,595512,93.8,arson
2001-07-01,AK,22,5,0.23,3.69,0.84,634892,595512,93.8,arson
2001-08-01,AK,31,8,0.26,5.21,1.34,634892,595105,93.73,arson
2001-09-01,AK,28,3,0.11,4.72,0.51,634892,592608,93.34,arson
2001-10-01,AK,15,5,0.33,2.53,0.84,634892,592608,93.34,arson
2001-11-01,AK,7,2,0.29,1.18,0.34,634892,592608,93.34,arson
2001-12-01,AK,15,13,0.87,2.53,2.19,634892,592608,93.34,arson
2002-01-01,AK,6,1,0.17,0.99,0.17,643786,603961,93.81,arson
2002-02-01,AK,9,2,0.22,1.49,0.33,643786,603961,93.81,arson
2002-03-01,AK,9,1,0.11,1.49,0.17,643786,603961,93.81,arson
2002-04-01,AK,23,4,0.17,3.83,0.67,643786,600796,93.32,arson
2002-05-01,AK,26,5,0.19,4.33,0.83,643786,600796,93.32,arson
2002-06-01,AK,12,2,0.17,2.0,0.33,643786,600796,93.32,arson
2002-07-01,AK,36,9,0.25,5.69,1.42,643786,632333,98.22,arson
2002-08-01,AK,38,4,0.11,6.01,0.63,643786,632333,98.22,arson
2002-09-01,AK,22,0,0.0,3.48,0.0,643786,632333,98.22,arson
2002-10-01,AK,22,5,0.23,3.48,0.79,643786,632333,98.22,arson
2002-11-01,AK,19,1,0.05,3.0,0.16,643786,632333,98.22,arson
2002-12-01,AK,23,9,0.39,3.64,1.42,643786,632333,98.22,arson
2003-01-01,AK,13,4,0.31,2.05,0.63,648818,632621,97.5,arson
2003-02-01,AK,21,2,0.1,3.32,0.32,648818,632621,97.5,arson
2003-03-01,AK,18,5,0.28,2.85,0.79,648818,632621,97.5,arson
2003-04-01,AK,9,4,0.44,1.42,0.63,648818,632621,97.5,arson
2003-05-01,AK,20,7,0.35,3.16,1.11,648818,632621,97.5,arson
2003-06-01,AK,27,4,0.15,4.27,0.63,648818,632621,97.5,arson
2003-07-01,AK,24,4,0.17,3.77,0.63,648818,635781,97.99,arson
2003-08-01,AK,30,5,0.17,4.72,0.79,648818,635781,97.99,arson
2003-09-01,AK,30,7,0.23,4.69,1.09,648818,639922,98.63,arson
2003-10-01,AK,32,7,0.22,5.03,1.1,648818,635781,97.99,arson
2003-11-01,AK,18,7,0.39,2.83,1.1,648818,636762,98.14,arson
2003-12-01,AK,10,2,0.2,1.58,0.32,648818,632621,97.5,arson
2004-01-01,AK,12,3,0.25,1.86,0.46,655435,646574,98.65,arson
2004-02-01,AK,11,2,0.18,1.7,0.31,655435,646574,98.65,arson
2004-03-01,AK,9,2,0.22,1.39,0.31,655435,646574,98.65,arson
2004-04-01,AK,14,6,0.43,2.17,0.93,655435,646574,98.65,arson
2004-05-01,AK,17,3,0.18,2.65,0.47,655435,642473,98.02,arson
2004-06-01,AK,18,2,0.11,2.8,0.31,655435,642473,98.02,arson
2004-07-01,AK,36,7,0.19,5.6,1.09,655435,642473,98.02,arson
2004-08-01,AK,22,8,0.36,3.44,1.25,655435,639285,97.54,arson
2004-09-01,AK,14,2,0.14,2.19,0.31,655435,639285,97.54,arson
2004-10-01,AK,11,2,0.18,1.72,0.31,655435,639285,97.54,arson
2004-11-01,AK,6,2,0.33,0.94,0.31,655435,639285,97.54,arson
2004-12-01,AK,10,4,0.4,1.56,0.63,655435,639285,97.54,arson
2005-01-01,AK,18,5,0.28,2.77,0.77,663661,650601,98.03,arson
2005-02-01,AK,9,3,0.33,1.38,0.46,663661,650601,98.03,arson
2005-03-01,AK,9,0,0.0,1.38,0.0,663661,650601,98.03,arson
2005-04-01,AK,9,1,0.11,1.38,0.15,663661,650601,98.03,arson
2005-05-01,AK,11,1,0.09,1.69,0.15,663661,650601,98.03,arson
2005-06-01,AK,10,0,0.0,1.54,0.0,663661,650601,98.03,arson
2005-07-01,AK,24,2,0.08,3.69,0.31,663661,650601,98.03,arson
2005-08-01,AK,18,2,0.11,2.77,0.31,663661,650601,98.03,arson
2005-09-01,AK,14,2,0.14,2.15,0.31,663661,650601,98.03,arson
2005-10-01,AK,15,3,0.2,2.31,0.46,663661,650601,98.03,arson
2005-11-01,AK,9,2,0.22,1.38,0.31,663661,650601,98.03,arson
2005-12-01,AK,13,5,0.38,2.0,0.77,663661,650601,98.03,arson
2006-01-01,AK,4,0,0.0,0.61,0.0,670053,660708,98.61,arson
2006-02-01,AK,12,3,0.25,1.82,0.45,670053,660708,98.61,arson
2006-03-01,AK,17,4,0.24,2.57,0.61,670053,660708,98.61,arson
2006-04-01,AK,16,2,0.12,2.42,0.3,670053,660708,98.61,arson
2006-05-01,AK,23,3,0.13,3.48,0.45,670053,660708,98.61,arson
2006-06-01,AK,25,3,0.12,3.78,0.45,670053,660708,98.61,arson
2006-07-01,AK,31,4,0.13,4.69,0.61,670053,660708,98.61,arson
2006-08-01,AK,22,7,0.32,3.33,1.06,670053,660708,98.61,arson
2006-09-01,AK,24,8,0.33,3.63,1.21,670053,660708,98.61,arson
2006-10-01,AK,25,3,0.12,3.78,0.45,670053,660708,98.61,arson
2006-11-01,AK,9,2,0.22,1.36,0.3,670053,660708,98.61,arson
2006-12-01,AK,13,2,0.15,1.97,0.3,670053,660708,98.61,arson
2007-01-01,AK,6,0,0.0,0.89,0.0,683478,674326,98.66,arson
2007-02-01,AK,9,0,0.0,1.33,0.0,683478,674326,98.66,arson
2007-03-01,AK,15,1,0.07,2.22,0.15,683478,674326,98.66,arson
2007-04-01,AK,23,4,0.17,3.41,0.59,683478,674326,98.66,arson
2007-05-01,AK,21,6,0.29,3.11,0.89,683478,674326,98.66,arson
2007-06-01,AK,35,8,0.23,5.19,1.19,683478,674326,98.66,arson
2007-07-01,AK,49,1,0.02,7.27,0.15,683478,674326,98.66,arson
2007-08-01,AK,21,6,0.29,3.11,0.89,683478,674326,98.66,arson
2007-09-01,AK,23,4,0.17,3.41,0.59,683478,674326,98.66,arson
2007-10-01,AK,17,15,0.88,2.52,2.22,683478,674326,98.66,arson
2007-11-01,AK,24,6,0.25,3.56,0.89,683478,674326,98.66,arson
2007-12-01,AK,20,5,0.25,2.97,0.74,683478,674326,98.66,arson
2008-01-01,AK,14,9,0.64,2.06,1.32,686293,681192,99.26,arson
2008-02-01,AK,12,4,0.33,1.76,0.59,686293,681192,99.26,arson
2008-03-01,AK,15,4,0.27,2.2,0.59,686293,681192,99.26,arson
2008-04-01,AK,14,5,0.36,2.06,0.73,686293,681192,99.26,arson
2008-05-01,AK,23,6,0.26,3.38,0.88,686293,681192,99.26,arson
2008-06-01,AK,22,7,0.32,3.23,1.03,686293,681192,99.26,arson
2008-07-01,AK,18,9,0.5,2.64,1.32,686293,681192,99.26,arson
2008-08-01,AK,13,5,0.38,1.91,0.73,686293,681192,99.26,arson
2008-09-01,AK,12,2,0.17,1.76,0.29,686293,681192,99.26,arson
2008-10-01,AK,15,3,0.2,2.2,0.44,686293,681192,99.26,arson
2008-11-01,AK,3,1,0.33,0.44,0.15,686293,681192,99.26,arson
2008-12-01,AK,6,1,0.17,0.88,0.15,686293,681192,99.26,arson
2009-01-01,AK,9,3,0.33,1.3,0.43,698473,693296,99.26,arson
2009-02-01,AK,5,2,0.4,0.72,0.29,698473,693296,99.26,arson
2009-03-01,AK,9,4,0.44,1.3,0.58,698473,693296,99.26,arson
2009-04-01,AK,7,0,0.0,1.01,0.0,698473,693296,99.26,arson
2009-05-01,AK,15,2,0.13,2.16,0.29,698473,693296,99.26,arson
2009-06-01,AK,23,5,0.22,3.32,0.72,698473,693296,99.26,arson
2009-07-01,AK,38,3,0.08,5.48,0.43,698473,693296,99.26,arson
2009-08-01,AK,26,1,0.04,3.75,0.14,698473,693296,99.26,arson
2009-09-01,AK,12,3,0.25,1.73,0.43,698473,693296,99.26,arson
2009-10-01,AK,20,2,0.1,2.88,0.29,698473,693296,99.26,arson
2009-11-01,AK,11,4,0.36,1.59,0.58,698473,693296,99.26,arson
2009-12-01,AK,15,3,0.2,2.16,0.43,698473,693296,99.26,arson
2010-01-01,AK,12,3,0.25,1.7,0.42,710231,705891,99.39,arson
2010-02-01,AK,9,4,0.44,1.27,0.57,710231,705891,99.39,arson
2010-03-01,AK,4,1,0.25,0.57,0.14,710231,705891,99.39,arson
2010-04-01,AK,12,2,0.17,1.7,0.28,710231,705891,99.39,arson
