Month,State,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage,Crime
2000-01-01,AK,6,4,0.67,1.03,0.69,626932,580891,92.66,homicide
2000-02-01,AK,4,6,1.5,0.69,1.03,626932,580124,92.53,homicide
2000-03-01,AK,4,4,1.0,0.69,0.69,626932,580124,92.53,homicide
2000-04-01,AK,1,5,5.0,0.17,0.86,626932,579262,92.4,homicide
2000-05-01,AK,1,3,3.0,0.17,0.52,626932,579262,92.4,homicide
2000-06-01,AK,1,1,1.0,0.17,0.17,626932,579262,92.4,homicide
2000-07-01,AK,4,1,0.25,0.69,0.17,626932,579262,92.4,homicide
2000-08-01,AK,2,2,1.0,0.35,0.35,626932,579262,92.4,homicide
2000-09-01,AK,4,2,0.5,0.69,0.35,626932,579262,92.4,homicide
2000-10-01,AK,1,1,1.0,0.17,0.17,626932,579262,92.4,homicide
2000-11-01,AK,3,4,1.33,0.52,0.69,626932,576796,92.0,homicide
2000-12-01,AK,2,3,1.5,0.34,0.52,626932,580124,92.53,homicide
2001-01-01,AK,5,5,1.0,0.85,0.85,634892,586565,92.39,homicide
2001-02-01,AK,2,3,1.5,0.34,0.5,634892,595512,93.8,homicide
2001-03-01,AK,2,1,0.5,0.34,0.17,634892,595105,93.73,homicide
2001-04-01,AK,4,0,0.0,0.67,0.0,634892,595105,93.73,homicide
2001-05-01,AK,2,0,0.0,0.34,0.0,634892,595512,93.8,homicide
2001-06-01,AK,2,4,2.0,0.34,0.67,634892,595512,93.8,homicide
2001-07-01,AK,4,4,1.0,0.67,0.67,634892,595512,93.8,homicide
2001-08-01,AK,3,2,0.67,0.5,0.34,634892,595105,93.73,homicide
2001-09-01,AK,6,3,0.5,1.01,0.51,634892,592608,93.34,homicide
2001-10-01,AK,1,6,6.0,0.17,1.01,634892,592608,93.34,homicide
2001-11-01,AK,3,0,0.0,0.51,0.0,634892,592608,93.34,homicide
2001-12-01,AK,6,8,1.33,1.01,1.35,634892,592608,93.34,homicide
2002-01-01,AK,1,2,2.0,0.17,0.33,643786,603961,93.81,homicide
2002-02-01,AK,4,1,0.25,0.66,0.17,643786,603961,93.81,homicide
2002-03-01,AK,3,3,1.0,0.5,0.5,643786,603961,93.81,homicide
2002-04-01,AK,1,2,2.0,0.17,0.33,643786,600796,93.32,homicide
2002-05-01,AK,5,5,1.0,0.83,0.83,643786,600796,93.32,homicide
2002-06-01,AK,1,6,6.0,0.17,1.0,643786,600796,93.32,homicide
2002-07-01,AK,5,4,0.8,0.79,0.63,643786,632333,98.22,homicide
2002-08-01,AK,4,5,1.25,0.63,0.79,643786,632333,98.22,homicide
2002-09-01,AK,4,2,0.5,0.63,0.32,643786,632333,98.22,homicide
2002-10-01,AK,5,4,0.8,0.79,0.63,643786,632333,98.22,homicide
2002-11-01,AK,3,2,0.67,0.47,0.32,643786,632333,98.22,homicide
2002-12-01,AK,4,3,0.75,0.63,0.47,643786,632333,98.22,homicide
2003-01-01,AK,5,1,0.2,0.79,0.16,648818,632621,97.5,homicide
2003-02-01,AK,4,5,1.25,0.63,0.79,648818,632621,97.5,homicide
2003-03-01,AK,5,3,0.6,0.79,0.47,648818,632621,97.5,homicide
2003-04-01,AK,3,4,1.33,0.47,0.63,648818,632621,97.5,homicide
2003-05-01,AK,2,1,0.5,0.32,0.16,648818,632621,97.5,homicide
2003-06-01,AK,2,2,1.0,0.32,0.32,648818,632621,97.5,homicide
2003-07-01,AK,3,3,1.0,0.47,0.47,648818,635781,97.99,homicide
2003-08-01,AK,2,2,1.0,0.31,0.31,648818,635781,97.99,homicide
2003-09-01,AK,4,2,0.5,0.63,0.31,648818,639922,98.63,homicide
2003-10-01,AK,8,5,0.62,1.26,0.79,648818,635781,97.99,homicide
2003-11-01,AK,2,1,0.5,0.31,0.16,648818,636762,98.14,homicide
2003-12-01,AK,3,2,0.67,0.47,0.32,648818,632621,97.5,homicide
2004-01-01,AK,1,2,2.0,0.15,0.31,655435,646574,98.65,homicide
2004-02-01,AK,3,4,1.33,0.46,0.62,655435,646574,98.65,homicide
2004-03-01,AK,6,5,0.83,0.93,0.77,655435,646574,98.65,homicide
2004-04-01,AK,0,4,inf,0.0,0.62,655435,646574,98.65,homicide
2004-05-01,AK,2,3,1.5,0.31,0.47,655435,642473,98.02,homicide
2004-06-01,AK,2,4,2.0,0.31,0.62,655435,642473,98.02,homicide
2004-07-01,AK,7,2,0.29,1.09,0.31,655435,642473,98.02,homicide
2004-08-01,AK,5,4,0.8,0.78,0.63,655435,639285,97.54,homicide
2004-09-01,AK,1,2,2.0,0.16,0.31,655435,639285,97.54,homicide
