Month,State,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage,Crime
2000-01-01,AK,1044,307,0.29,179.72,52.85,626932,580891,92.66,larceny
2000-02-01,AK,1079,319,0.3,185.99,54.99,626932,580124,92.53,larceny
2000-03-01,AK,1119,325,0.29,192.89,56.02,626932,580124,92.53,larceny
2000-04-01,AK,1271,401,0.32,219.42,69.23,626932,579262,92.4,larceny
2000-05-01,AK,1440,355,0.25,248.59,61.28,626932,579262,92.4,larceny
2000-06-01,AK,1565,349,0.22,270.17,60.25,626932,579262,92.4,larceny
2000-07-01,AK,1597,366,0.23,275.7,63.18,626932,579262,92.4,larceny
2000-08-01,AK,1648,473,0.29,284.5,81.66,626932,579262,92.4,larceny
2000-09-01,AK,1346,370,0.27,232.36,63.87,626932,579262,92.4,larceny
2000-10-01,AK,1083,336,0.31,186.96,58.0,626932,579262,92.4,larceny
2000-11-01,AK,1012,297,0.29,175.45,51.49,626932,576796,92.0,larceny
2000-12-01,AK,1119,339,0.3,192.89,58.44,626932,580124,92.53,larceny
2001-01-01,AK,1113,302,0.27,189.75,51.49,634892,586565,92.39,larceny
2001-02-01,AK,1040,278,0.27,174.64,46.68,634892,595512,93.8,larceny
2001-03-01,AK,1176,298,0.25,197.61,50.08,634892,595105,93.73,larceny
2001-04-01,AK,1251,312,0.25,210.22,52.43,634892,595105,93.73,larceny
2001-05-01,AK,1382,330,0.24,232.07,55.41,634892,595512,93.8,larceny
2001-06-01,AK,1498,304,0.2,251.55,51.05,634892,595512,93.8,larceny
2001-07-01,AK,1528,343,0.22,256.59,57.6,634892,595512,93.8,larceny
2001-08-01,AK,1547,333,0.22,259.95,55.96,634892,595105,93.73,larceny
2001-09-01,AK,1292,328,0.25,218.02,55.35,634892,592608,93.34,larceny
2001-10-01,AK,1014,253,0.25,171.11,42.69,634892,592608,93.34,larceny
2001-11-01,AK,906,272,0.3,152.88,45.9,634892,592608,93.34,larceny
2001-12-01,AK,1548,455,0.29,261.22,76.78,634892,592608,93.34,larceny
2002-01-01,AK,1117,294,0.26,184.95,48.68,643786,603961,93.81,larceny
2002-02-01,AK,1019,328,0.32,168.72,54.31,643786,603961,93.81,larceny
2002-03-01,AK,1076,345,0.32,178.16,57.12,643786,603961,93.81,larceny
2002-04-01,AK,1122,328,0.29,186.75,54.59,643786,600796,93.32,larceny
2002-05-01,AK,1279,291,0.23,212.88,48.44,643786,600796,93.32,larceny
2002-06-01,AK,1512,377,0.25,251.67,62.75,643786,600796,93.32,larceny
2002-07-01,AK,1814,365,0.2,286.87,57.72,643786,632333,98.22,larceny
2002-08-01,AK,1846,420,0.23,291.93,66.42,643786,632333,98.22,larceny
2002-09-01,AK,1563,410,0.26,247.18,64.84,643786,632333,98.22,larceny
2002-10-01,AK,1293,340,0.26,204.48,53.77,643786,632333,98.22,larceny
2002-11-01,AK,1287,303,0.24,203.53,47.92,643786,632333,98.22,larceny
2002-12-01,AK,1840,513,0.28,290.99,81.13,643786,632333,98.22,larceny
2003-01-01,AK,1373,300,0.22,217.03,47.42,648818,632621,97.5,larceny
2003-02-01,AK,1314,316,0.24,207.71,49.95,648818,632621,97.5,larceny
2003-03-01,AK,1422,373,0.26,224.78,58.96,648818,632621,97.5,larceny
2003-04-01,AK,1473,369,0.25,232.84,58.33,648818,632621,97.5,larceny
2003-05-01,AK,1601,366,0.23,253.07,57.85,648818,632621,97.5,larceny
2003-06-01,AK,1645,389,0.24,260.03,61.49,648818,632621,97.5,larceny
2003-07-01,AK,1755,352,0.2,276.04,55.36,648818,635781,97.99,larceny
2003-08-01,AK,1638,331,0.2,257.64,52.06,648818,635781,97.99,larceny
2003-09-01,AK,1519,304,0.2,237.37,47.51,648818,639922,98.63,larceny
2003-10-01,AK,1269,356,0.28,199.6,55.99,648818,635781,97.99,larceny
