Month,State,Total Crimes,Clearances,Prosecuted %,Crime(Per 100k),Prosecutions(Per 100k),Total Pop,Partic Pop,Pop Coverage,Crime
2000-01-01,AK,31,7,0.23,5.34,1.21,626932,580891,92.66,robbery
2000-02-01,AK,36,6,0.17,6.21,1.03,626932,580124,92.53,robbery
2000-03-01,AK,34,9,0.26,5.86,1.55,626932,580124,92.53,robbery
2000-04-01,AK,46,9,0.2,7.94,1.55,626932,579262,92.4,robbery
2000-05-01,AK,40,13,0.32,6.91,2.24,626932,579262,92.4,robbery
2000-06-01,AK,44,7,0.16,7.6,1.21,626932,579262,92.4,robbery
2000-07-01,AK,55,11,0.2,9.49,1.9,626932,579262,92.4,robbery
2000-08-01,AK,48,14,0.29,8.29,2.42,626932,579262,92.4,robbery
2000-09-01,AK,38,15,0.39,6.56,2.59,626932,579262,92.4,robbery
2000-10-01,AK,27,6,0.22,4.66,1.04,626932,579262,92.4,robbery
2000-11-01,AK,29,5,0.17,5.03,0.87,626932,576796,92.0,robbery
2000-12-01,AK,29,7,0.24,5.0,1.21,626932,580124,92.53,robbery
2001-01-01,AK,50,6,0.12,8.52,1.02,634892,586565,92.39,robbery
2001-02-01,AK,22,11,0.5,3.69,1.85,634892,595512,93.8,robbery
2001-03-01,AK,35,6,0.17,5.88,1.01,634892,595105,93.73,robbery
2001-04-01,AK,36,9,0.25,6.05,1.51,634892,595105,93.73,robbery
2001-05-01,AK,49,15,0.31,8.23,2.52,634892,595512,93.8,robbery
2001-06-01,AK,39,11,0.28,6.55,1.85,634892,595512,93.8,robbery
2001-07-01,AK,48,9,0.19,8.06,1.51,634892,595512,93.8,robbery
2001-08-01,AK,45,19,0.42,7.56,3.19,634892,595105,93.73,robbery
2001-09-01,AK,40,4,0.1,6.75,0.67,634892,592608,93.34,robbery
2001-10-01,AK,37,11,0.3,6.24,1.86,634892,592608,93.34,robbery
2001-11-01,AK,35,10,0.29,5.91,1.69,634892,592608,93.34,robbery
2001-12-01,AK,52,22,0.42,8.77,3.71,634892,592608,93.34,robbery
2002-01-01,AK,29,11,0.38,4.8,1.82,643786,603961,93.81,robbery
2002-02-01,AK,40,8,0.2,6.62,1.32,643786,603961,93.81,robbery
2002-03-01,AK,28,8,0.29,4.64,1.32,643786,603961,93.81,robbery
2002-04-01,AK,34,7,0.21,5.66,1.17,643786,600796,93.32,robbery
2002-05-01,AK,48,8,0.17,7.99,1.33,643786,600796,93.32,robbery
2002-06-01,AK,48,14,0.29,7.99,2.33,643786,600796,93.32,robbery
2002-07-01,AK,35,12,0.34,5.54,1.9,643786,632333,98.22,robbery
2002-08-01,AK,51,11,0.22,8.07,1.74,643786,632333,98.22,robbery
2002-09-01,AK,40,13,0.32,6.33,2.06,643786,632333,98.22,robbery
2002-10-01,AK,30,7,0.23,4.74,1.11,643786,632333,98.22,robbery
2002-11-01,AK,60,12,0.2,9.49,1.9,643786,632333,98.22,robbery
2002-12-01,AK,39,14,0.36,6.17,2.21,643786,632333,98.22,robbery
2003-01-01,AK,30,14,0.47,4.74,2.21,648818,632621,97.5,robbery
2003-02-01,AK,35,6,0.17,5.53,0.95,648818,632621,97.5,robbery
2003-03-01,AK,38,7,0.18,6.01,1.11,648818,632621,97.5,robbery
2003-04-01,AK,28,8,0.29,4.43,1.26,648818,632621,97.5,robbery
2003-05-01,AK,26,13,0.5,4.11,2.05,648818,632621,97.5,robbery
2003-06-01,AK,41,12,0.29,6.48,1.9,648818,632621,97.5,robbery
2003-07-01,AK,38,9,0.24,5.98,1.42,648818,635781,97.99,robbery
2003-08-01,AK,44,4,0.09,6.92,0.63,648818,635781,97.99,robbery
2003-09-01,AK,38,10,0.26,5.94,1.56,648818,639922,98.63,robbery
2003-10-01,AK,37,7,0.19,5.82,1.1,648818,635781,97.99,robbery
2003-11-01,AK,44,10,0.23,6.91,1.57,648818,636762,98.14,robbery
